run,limiar,arquivo,area_px,iou,vazia,tem_ferida
unet_black_seed42,0.99,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,64452,0.886823,0,1
unet_black_seed42,0.995,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,61432,0.845862,0,1
unet_black_seed42,0.999,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,44499,0.612765,0,1
unet_black_seed42,0.05,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,59704,0.921033,0,1
unet_black_seed42,0.1,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,58337,0.932749,0,1
unet_black_seed42,0.2,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,57207,0.937828,0,1
unet_black_seed42,0.3,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,56540,0.937988,0,1
unet_black_seed42,0.4,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,56072,0.937536,0,1
unet_black_seed42,0.5,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,55619,0.936096,0,1
unet_black_seed42,0.6,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,55163,0.934594,0,1
unet_black_seed42,0.7,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,54611,0.932417,0,1
unet_black_seed42,0.8,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,53959,0.930026,0,1
unet_black_seed42,0.9,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,52902,0.921548,0,1
unet_black_seed42,0.95,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,51578,0.906985,0,1
unet_black_seed42,0.98,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,49304,0.876351,0,1
unet_black_seed42,0.99,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,46902,0.837236,0,1
unet_black_seed42,0.995,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,43519,0.778255,0,1
unet_black_seed42,0.999,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,34105,0.610402,0,1
unet_black_seed42,0.05,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.1,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.2,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.3,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.4,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.5,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.6,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.7,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.8,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.9,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.95,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.98,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.99,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.995,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.999,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,1.0,1,0
unet_black_seed42,0.05,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,5784,0.0,0,0
unet_black_seed42,0.1,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,4434,0.0,0,0
unet_black_seed42,0.2,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,3260,0.0,0,0
unet_black_seed42,0.3,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,2730,0.0,0,0
unet_black_seed42,0.4,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,1929,0.0,0,0
unet_black_seed42,0.5,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,1365,0.0,0,0
unet_black_seed42,0.6,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,973,0.0,0,0
unet_black_seed42,0.7,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,688,0.0,0,0
