series_key,campo,timepoint_h,cell_line,braco,seed,referencia,ai,diferenca
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,HUVEC,YOLO M,43,0.230100,1.000000,0.769900
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,12,HUVEC,YOLO M,43,0.103000,0.117668,0.014668
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,24,HUVEC,YOLO M,43,0.437100,0.442976,0.005876
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,8,HUVEC,YOLO M,43,-0.026600,0.005864,0.032464
Originais (1)||None||A1||c1,1,12,HUVEC,YOLO M,43,0.720300,1.000000,0.279700
Originais (1)||None||A1||c1,1,24,HUVEC,YOLO M,43,1.000000,1.000000,0.000000
Originais (1)||None||A1||c1,1,8,HUVEC,YOLO M,43,0.507400,0.560043,0.052643
Originais (1)||None||A1||c2,2,12,HUVEC,YOLO M,43,0.707700,1.000000,0.292300
Originais (1)||None||A1||c2,2,24,HUVEC,YOLO M,43,1.000000,1.000000,0.000000
Originais (1)||None||A1||c2,2,8,HUVEC,YOLO M,43,0.489000,0.493910,0.004910
Originais (1)||None||A5||c1,1,12,HUVEC,YOLO M,43,0.831100,1.000000,0.168900
Originais (1)||None||A5||c1,1,24,HUVEC,YOLO M,43,1.000000,1.000000,0.000000
Originais (1)||None||A5||c1,1,8,HUVEC,YOLO M,43,0.616300,0.576105,-0.040195
Originais (1)||None||A5||c2,2,12,HUVEC,YOLO M,43,0.830300,1.000000,0.169700
Originais (1)||None||A5||c2,2,24,HUVEC,YOLO M,43,1.000000,1.000000,0.000000
Originais (1)||None||A5||c2,2,8,HUVEC,YOLO M,43,0.597800,0.568527,-0.029273
Originais (1)||None||B5||c1,1,12,HUVEC,YOLO M,43,0.641600,0.648824,0.007224
Originais (1)||None||B5||c1,1,8,HUVEC,YOLO M,43,0.503900,0.507955,0.004055
Originais (1)||None||B5||c2,2,12,HUVEC,YOLO M,43,0.284300,0.569995,0.285695
Originais (1)||None||B5||c2,2,8,HUVEC,YOLO M,43,0.235200,0.451075,0.215875
Originais (1)||None||D1||c2,2,12,HUVEC,YOLO M,43,0.432000,1.000000,0.568000
Originais (1)||None||D1||c2,2,8,HUVEC,YOLO M,43,0.256100,0.496515,0.240415
P1|CT|F10,F10,48,SKOV-3,YOLO M,43,1.000000,1.000000,0.000000
P1|CT|F8,F8,24,SKOV-3,YOLO M,43,1.000000,1.000000,0.000000
P1|CT|F8,F8,48,SKOV-3,YOLO M,43,1.000000,1.000000,0.000000
P1|PTX|F2,F2,24,SKOV-3,YOLO M,43,0.438400,0.496053,0.057653
P1|PTX|F2,F2,48,SKOV-3,YOLO M,43,0.769500,0.696874,-0.072626
P1|PTX|F9,F9,24,SKOV-3,YOLO M,43,0.148900,0.169829,0.020929
P1|PTX|F9,F9,48,SKOV-3,YOLO M,43,0.479300,0.327854,-0.151446
P2|CARBO+GEO|F14,F14,48,SKOV-3,YOLO M,43,0.497100,1.000000,0.502900
P2|CARBO+GEO|F8,F8,24,SKOV-3,YOLO M,43,0.504400,0.480975,-0.023425
P2|CARBO+GEO|F8,F8,48,SKOV-3,YOLO M,43,0.595700,1.000000,0.404300
P2|CARBO|F9,F9,24,SKOV-3,YOLO M,43,0.536200,1.000000,0.463800
P2|CARBO|F9,F9,48,SKOV-3,YOLO M,43,1.000000,1.000000,0.000000
P2|CT|F9,F9,24,SKOV-3,YOLO M,43,0.847900,0.855445,0.007545
P2|CT|F9,F9,48,SKOV-3,YOLO M,43,1.000000,1.000000,0.000000
P2|GEO|F11,F11,24,SKOV-3,YOLO M,43,0.471200,0.463820,-0.007380
Pré-Eclâmpsia||None||B6||c1,1,12,HUVEC,YOLO M,43,0.713500,1.000000,0.286500
