filename,area_px,area_pct,width_px,width_sd,n_rois,status,unit_check,pw_check
4e5949b4ff__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_2_3.tiff,460099.000,9.127,269.629,97.117,365,ok,pixels,1.000000
52cbd70f1b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_1.tiff,315723.000,6.263,213.633,124.901,233,ok,pixels,1.000000
5402a99d17__HUVEC__originais_None_B5__tp8h__B5_8HR_2.tiff,1060554.000,21.037,606.106,218.722,229,ok,pixels,1.000000
545022361d__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_2_2.tiff,2123.000,0.042,23.802,12.987,35,ok,pixels,1.000000
54c61f325d__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_1_3.tiff,2350522.000,46.625,1904.459,615.966,191,ok,pixels,1.000000
56448aa7e3__BASELINE__SKOV-3__P1_GEO+PTX_F6__tp0h__75ug+ptx2_1.tiff,3088577.000,61.265,1567.639,671.402,39,ok,pixels,1.000000
5870bb947e__HUVEC__originais_None_D4__tp0h__D4_0HR_2.tiff,828406.000,16.432,417.445,68.325,321,ok,pixels,1.000000
58a4cc19a9__SKOV-3__P1_GEO+PTX_F6__tp48h__Snap-52_2.tiff,77780.000,1.543,172.441,69.716,341,ok,pixels,1.000000
590e6c1504__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_1_3.tiff,2008119.000,39.833,1326.592,963.176,188,ok,pixels,1.000000
609fee8a39__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_2.tiff,361214.000,7.165,279.891,107.158,37,ok,pixels,1.000000
61972712e8__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_2_3.tiff,4654837.000,92.334,2448.200,7.825,27,ok,pixels,1.000000
61e00c0106__SKOV-3__P1_PTX_F2__tp0h__ptx1_2.tiff,1378092.000,27.336,673.338,31.326,250,ok,pixels,1.000000
628814a792__HUVEC__LUIS_RAW_PEP+MET3_A6__tp12h__A6_12H_1.tiff,623136.000,12.361,340.417,89.389,205,ok,pixels,1.000000
62c9f5d9a5__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,2485958.000,49.312,1562.544,702.942,214,ok,pixels,1.000000
