ordem,pasta_triagem,arquivo_overlay,motivo,pasta_correta?,categoria_sugerida,confianca,analysis_unit,timepoint_h,campo,area_pct_whst,cell_line,adjudicado_depois_como,whst_input_file,motivo_classificado,modo_falha_computado,contencao_t0
49,_SEG_RUIM/_super,HUVEC__LUIS_RAW_PEP_MCC_B4__tp08h__1__B4_8H_1__e0911e22cc.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,LUIS RAW||PEP+MCC||B4,8,1,28.697,HUVEC,,e0911e22cc__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_1.tiff,excesso,deslocada,0.1549
50,_SEG_RUIM/_super,HUVEC__LUIS_RAW_PEP_MCC_B4__tp12h__2__B4_12H_2__9984e40df9.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,LUIS RAW||PEP+MCC||B4,12,2,44.578,HUVEC,,9984e40df9__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_2.tiff,excesso,deslocada,0.2132
51,_SEG_RUIM/_super,HUVEC__LUIS_RAW_PEP_MCC_B4__tp24h__1__B4_24H_1_2__e31a26b3ae.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,LUIS RAW||PEP+MCC||B4,24,1,42.35,HUVEC,,e31a26b3ae__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_1_2.tiff,excesso,deslocada,0.1768
52,_SEG_RUIM/_super,HUVEC__LUIS_RAW_PEP_MCC_B4__tp24h__2__B4_24H_2_2__1daac83e9d.jpg,totalmente fechada,nao,ferida_ja_fechada,alta,LUIS RAW||PEP+MCC||B4,24,2,8.738,HUVEC,,1daac83e9d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_2_2.tiff,espuria_fechada,deslocada,0.0124
53,_SEG_RUIM/_super,HUVEC__LUIS_RAW_PEP_MET3_A6__tp08h__2__A6_8H_2__226a0493b4.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,LUIS RAW||PEP+MET3||A6,8,2,23.08,HUVEC,,226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2.tiff,excesso,deslocada,0.0055
54,_SEG_RUIM/_super,HUVEC__LUIS_RAW_PEP_E1__tp24h__1__E1_24H_1__9ec02dd0f0.jpg,"pouco super, talvez totalmente fechada",duvida,ferida_ja_fechada,media,LUIS RAW||PEP||E1,24,1,0.966,HUVEC,,9ec02dd0f0__HUVEC__LUIS_RAW_PEP_E1__tp24h__E1_24H_1.tiff,excesso,espuria_fechada,0.2891
55,_SEG_RUIM/_super,HUVEC__LUIS_RAW_PET_C5__tp12h__1__C5_12H_1__30813da992.jpg,pegou a ferida e fora dela tambem,sim,contorno_fora_da_ferida,alta,LUIS RAW||PET||C5,12,1,35.08,HUVEC,,30813da992__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_1.tiff,excesso,deslocada,0.3179
56,_SEG_RUIM/_super,HUVEC__LUIS_RAW_PET_F2__tp08h__2__F2_8H_2__ab1e438082.jpg,pegou a ferida e fora dela tambem mas faltou uma parte. Seria sub.,nao,contorno_fora_da_ferida,alta,LUIS RAW||PET||F2,8,2,14.038,HUVEC,,ab1e438082__HUVEC__LUIS_RAW_PET_F2__tp8h__F2_8H_2.tiff,excesso_e_sub,nao_avaliavel,
57,_SEG_RUIM/_super,HUVEC__LUIS_RAW_PET_F2__tp12h__1__F2_12H_1__7e12b751cc.jpg,pegou corretamente,nao,ok,alta,LUIS RAW||PET||F2,12,1,23.64,HUVEC,,7e12b751cc__HUVEC__LUIS_RAW_PET_F2__tp12h__F2_12H_1.tiff,segmentacao_ok,deslocada,0.4156
58,_SEG_RUIM/_super,HUVEC__LUIS_RAW_PET_F2__tp12h__2__F2_12H_2__be0b2a74bf.jpg,pegou a ferida e fora dela tambem mas faltou uma parte,sim,contorno_fora_da_ferida,alta,LUIS RAW||PET||F2,12,2,25.522,HUVEC,,be0b2a74bf__HUVEC__LUIS_RAW_PET_F2__tp12h__F2_12H_2.tiff,excesso_e_sub,nao_avaliavel,
