series_key,cell_line,analysis_unit,campo,timepoint_h,area_pct,closure_fraction,procedencia_area,analisavel
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,2,24,13.352,0.4537,corrigida,sim
Migração (PET e PEP) n3 - RAW||None||D1||c1,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,1,0,16.031,0.0,corrigida,sim
Migração (PET e PEP) n3 - RAW||None||D1||c1,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,1,8,12.321,0.2314,corrigida,sim
Migração (PET e PEP) n3 - RAW||None||D1||c1,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,1,12,11.288,0.2959,corrigida,sim
Migração (PET e PEP) n3 - RAW||None||D1||c2,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,2,0,17.89,0.0,corrigida,sim
Migração (PET e PEP) n3 - RAW||None||D1||c2,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,2,8,13.773,0.2301,corrigida,sim
Migração (PET e PEP) n3 - RAW||None||D1||c2,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,2,12,14.031,0.2157,corrigida,sim
Migração (PET e PEP) n3 - RAW||None||D1||c2,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,2,24,7.524,0.5794,corrigida,sim
Migração (PET e PEP) n3 - RAW||None||D4||c1,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,1,0,19.713,0.0,corrigida,sim
Migração (PET e PEP) n3 - RAW||None||D4||c1,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,1,8,20.237,-0.0266,corrigida,sim
Migração (PET e PEP) n3 - RAW||None||D4||c1,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,1,12,17.683,0.103,corrigida,sim
Migração (PET e PEP) n3 - RAW||None||D4||c1,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,1,24,11.097,0.4371,corrigida,sim
Originais (1)||None||A1||c1,HUVEC,Originais (1)||None||A1,1,0,15.369,0.0,corrigida,sim
Originais (1)||None||A1||c1,HUVEC,Originais (1)||None||A1,1,8,7.571,0.5074,corrigida,sim
Originais (1)||None||A1||c1,HUVEC,Originais (1)||None||A1,1,12,4.298,0.7203,corrigida,sim
Originais (1)||None||A1||c1,HUVEC,Originais (1)||None||A1,1,24,0.0,1.0,corrigida,sim
Originais (1)||None||A1||c2,HUVEC,Originais (1)||None||A1,2,0,16.944,0.0,corrigida,sim
Originais (1)||None||A1||c2,HUVEC,Originais (1)||None||A1,2,8,8.658,0.489,corrigida,sim
Originais (1)||None||A1||c2,HUVEC,Originais (1)||None||A1,2,12,4.953,0.7077,corrigida,sim
Originais (1)||None||A1||c2,HUVEC,Originais (1)||None||A1,2,24,0.0,1.0,corrigida,sim
Originais (1)||None||A5||c1,HUVEC,Originais (1)||None||A5,1,0,14.017,0.0,corrigida,sim
Originais (1)||None||A5||c1,HUVEC,Originais (1)||None||A5,1,8,5.378,0.6163,corrigida,sim
Originais (1)||None||A5||c1,HUVEC,Originais (1)||None||A5,1,12,2.367,0.8311,corrigida,sim
Originais (1)||None||A5||c1,HUVEC,Originais (1)||None||A5,1,24,0.0,1.0,corrigida,sim
